family,dim,k,method,trial,k_hat,f1
gaussian,2,1,ecf_cos,31,1,1.0
gaussian,2,1,midast_ks,31,1,1.0
gaussian,2,1,midast_cvm,31,1,1.0
gaussian,2,1,edivisive,31,1,1.0
gaussian,2,1,ecf_cos,32,1,1.0
gaussian,2,1,midast_ks,32,4,0.0
gaussian,2,1,midast_cvm,32,2,0.6666666666666666
gaussian,2,1,edivisive,32,1,1.0
gaussian,2,1,ecf_cos,33,1,1.0
gaussian,2,1,midast_ks,33,1,1.0
gaussian,2,1,midast_cvm,33,1,1.0
gaussian,2,1,edivisive,33,1,1.0
gaussian,2,1,ecf_cos,34,2,0.6666666666666666
gaussian,2,1,midast_ks,34,1,1.0
gaussian,2,1,midast_cvm,34,1,1.0
gaussian,2,1,edivisive,34,1,1.0
gaussian,2,1,ecf_cos,35,1,1.0
gaussian,2,1,midast_ks,35,2,0.6666666666666666
gaussian,2,1,midast_cvm,35,1,1.0
gaussian,2,1,edivisive,35,1,1.0
gaussian,2,1,ecf_cos,36,1,1.0
gaussian,2,1,midast_ks,36,2,0.6666666666666666
gaussian,2,1,midast_cvm,36,1,1.0
gaussian,2,1,edivisive,36,1,1.0
gaussian,2,1,ecf_cos,37,1,1.0
gaussian,2,1,midast_ks,37,1,1.0
gaussian,2,1,midast_cvm,37,1,1.0
gaussian,2,1,edivisive,37,1,1.0
gaussian,2,1,ecf_cos,38,1,1.0
gaussian,2,1,midast_ks,38,2,0.6666666666666666
gaussian,2,1,midast_cvm,38,2,0.6666666666666666
gaussian,2,1,edivisive,38,1,1.0
gaussian,2,1,ecf_cos,39,1,1.0
gaussian,2,1,midast_ks,39,3,0.0
gaussian,2,1,midast_cvm,39,2,0.6666666666666666
gaussian,2,1,edivisive,39,1,1.0
gaussian,2,1,ecf_cos,40,1,1.0
gaussian,2,1,midast_ks,40,1,1.0
gaussian,2,1,midast_cvm,40,1,1.0
gaussian,2,1,edivisive,40,1,1.0
gaussian,2,1,ecf_cos,41,1,1.0
gaussian,2,1,midast_ks,41,3,0.5
gaussian,2,1,midast_cvm,41,2,0.6666666666666666
gaussian,2,1,edivisive,41,1,1.0
gaussian,2,1,ecf_cos,42,1,1.0
gaussian,2,1,midast_ks,42,2,0.6666666666666666
gaussian,2,1,midast_cvm,42,1,1.0
gaussian,2,1,edivisive,42,1,1.0
gaussian,2,1,ecf_cos,43,1,1.0
gaussian,2,1,midast_ks,43,1,1.0
gaussian,2,1,midast_cvm,43,2,0.6666666666666666
gaussian,2,1,edivisive,43,1,1.0
gaussian,2,1,ecf_cos,44,1,1.0
gaussian,2,1,midast_ks,44,3,0.5
gaussian,2,1,midast_cvm,44,2,0.6666666666666666
gaussian,2,1,edivisive,44,1,1.0
gaussian,2,1,ecf_cos,45,1,1.0
gaussian,2,1,midast_ks,45,2,0.6666666666666666
gaussian,2,1,midast_cvm,45,1,1.0
gaussian,2,1,edivisive,45,1,1.0
gaussian,2,1,ecf_cos,46,1,1.0
gaussian,2,1,midast_ks,46,2,0.6666666666666666
gaussian,2,1,midast_cvm,46,1,1.0
gaussian,2,1,edivisive,46,1,1.0
gaussian,2,1,ecf_cos,47,1,1.0
